id,city,country,gname,location,summary
63.0,Berkeley,United States,Black Nationalists,Berkeley police station,1970
148.0,New York City,United States,Black Panthers,Electric Circus Discotheque,1970
187.0,Freeport,United States,Unknown,Dow Chemical Company,1970
209.0,Lawrence,United States,Student Radicals,"Student Union, University of Kansas",1970
248.0,New Haven,United States,Student Radicals,"Ingalls Skating Rink, Yale University",1970
249.0,New York City,United States,Armed Revolutionary Independence Movement (MIRA),"Dale Theatre, Bronx",1970
262.0,New York City,United States,Unknown,"Sears, Roebuck & Company Department Store",1970
272.0,New York City,United States,Stop the War Coalition,Humanities Building Long Island University,1970
280.0,Des Moines,United States,Black Panthers,Des Moines Police Station,1970
300.0,Ames,United States,Black Panthers,Ames Police Headquarters,1970
347.0,Des Moines,United States,Black Panthers,Des Moines Chamber of Commerce,1970
500.0,DeWitt,United States,Black Nationalists,"DeWitt Police Station, Iowa",1970
820.0,San Juan,United States,Armed Commandos of Liberation,El Comandante Shopping Center,1971
1079.0,Norman,United States,White extremists,Oklahoma University campus,1971
1436.0,New York City,United States,Puerto Rican Revolutionary Movement, F. W. Woolworth Store Manhattan,1972
1437.0,New York City,United States,Puerto Rican Revolutionary Movement,S.H. Kress & Company Manhattan,1972
1442.0,New York City,United States,Puerto Rican Revolutionary Movement,Lerner Shop Manhattan,1972
1443.0,New York City,United States,Puerto Rican Revolutionary Movement,E. J. Korvette branch Manhattan,1972
1444.0,New York City,United States,Puerto Rican Revolutionary Movement,E. J. Korvette branch Manhattan,1972
2505.0,Los Angeles,United States,Anti-Government extremists,Los Angeles International Airport,1974
2696.0,San Juan,United States,Fuerzas Armadas de Liberacion Nacional (FALN),International Telephone and Telegraph Corporation,1974
3901.0,Chicago,United States,Fuerzas Armadas de Liberacion Nacional (FALN),First National Bank of Chicago,1976
13798.0,College Park,United States,Unknown,University of Maryland,1981
19407.0,Portland,United States,Jamaat-al-Fuqra,Hotel Rajneesh,1983
24464.0,Mesquite,United States,Anti-Abortion extremists,Women's Clinic of Mesquite,1985
29459.0,New York City,United States,Anti-Abortion extremists,Eastern Women's Center,1986
39317.0,Atlanta,United States,Americans for a Competent Federal Judicial System,headquarters office of the National Association for the Advancement of Colored People,1989
46189.0,Woodbridge,United States,Anti-Abortion extremists, Medical Care Center of Woodbridge,1991
67666.0,Belfast,United Kingdom,Irish Republican Army (IRA), Royal Mail center in Belfast,1998
67907.0,Athens,Greece,Revolutionary Nuclei,Higher Council for the Evaluation of Civil Servants,1998
68835.0,London,United Kingdom,White Wolves (UK),Admiral Duncan pub,1999
68908.0,Belfast,United Kingdom,Loyalists,Red Devil pub,1999
69036.0,Edmonton,Canada,Unknown,Edmonton TV station,1999
70760.0,Dusseldorf,Germany,Neo-Nazi extremists,S-Bahn rail station,2000
70786.0,Hong Kong,Hong Kong,Unknown,Hong Kong's Immigration Tower,2000
71736.0,Schipol,Netherlands,Unknown, Schiphol airport,2001
72465.0,Borgo,France,Unknown,Borgo gendarmerie,2001
72524.0,Ealing,United Kingdom,Real Irish Republican Army (RIRA),Ealing subway station,2001
72596.0,Venice,Italy,Unknown,Courthouse of Venice,2001
72780.0,Salou,Spain,Basque Fatherland and Freedom (ETA),Cala Font Hotel,2001
73501.0,Xian,China,Unknown,McDonalds fast food restaurant,2001
73895.0,Lille,France,Unknown,Muslim butcher shop,2002
74139.0,Barcelona,Spain,Unknown,Cash dispenser,2002
74184.0,Pamplona,Spain,Basque Fatherland and Freedom (ETA),University of Navarre in Pamplona,2002
74431.0,Alicante,Spain,Basque Fatherland and Freedom (ETA),Costa Blanca Resort,2002
74655.0,Guilin,China,Unknown,Central Square,2002
74675.0,Urdax,Spain,Basque Fatherland and Freedom (ETA),Civil Guards Barracks,2002
74993.0,Yulin,China,Unknown,Jingbian Hotel ,2003
75149.0,Belfast,United Kingdom,Unknown,Antrim Road Police station,2003
75182.0,Beijing,China,Unknown,Tsinghua University,2003
75183.0,Beijing,China,Unknown,Beijing University,2003
75285.0,Ajaccio,France,Unknown,General Council of Ajaccio,2003
75597.0,Valencia,Spain,Unknown,Postal Office,2003
75783.0,Alicante,Spain,Basque Fatherland and Freedom (ETA),Hotel Residencia Bahia,2003
75784.0,Benidorm,Spain,Basque Fatherland and Freedom (ETA),Hotel Nadal,2003
75789.0,Estella,Spain,Unknown,Courthouse of Estella,2003
76231.0,Zhengzhou,China,Unknown,Railway station,2004
76324.0,Madrid,Spain,Al-Qaida,Atocha Station,2004
76326.0,Madrid,Spain,Al-Qaida,El Pozo Station,2004
76327.0,Madrid,Spain,Al-Qaida,Sant Eugenia Station,2004
