index,building,city,year,Accessibility,Security,Religion,Politics,Crowds,Culture,Cost,History,Media,Tourism,Education,Health,Sports,Transportation,Infrastructure,Military,Government,Business,Population,attack
0,Berkeley police station,Berkeley,1970,15,10,1,10,5,5,15,5,5,1,1,1,1,10,10,10,15,5,20,1
0,Sather Tower,Berkeley,1970,15,10,5,5,10,15,15,15,5,15,15,5,5,10,10,5,15,5,20,0
0,Berkeley Art Museum and Pacific Film Archive,Berkeley,1970,15,10,5,5,10,15,10,10,5,15,15,5,5,10,10,5,10,5,20,0
1,Electric Circus Discotheque,New York City,1970,15,5,1,1,20,20,10,10,15,15,1,1,1,15,10,1,1,15,20,1
1,Empire State Building,New York City,1970,20,10,1,5,15,20,20,20,20,20,1,1,10,20,20,1,20,20,20,0
1,One World Trade Center,New York City,1970,20,1,1,1,1,1,1,1,1,1,1,1,1,20,20,1,20,1,20,0
2,Dow Chemical Company,Freeport,1970,15,10,1,5,5,5,20,5,5,1,1,1,1,10,20,1,10,20,15,1
2,Freeport City Hall,Freeport,1970,15,10,5,10,5,5,15,5,5,5,5,5,5,5,5,5,15,5,20,0
2,Freeport Public Library,Freeport,1970,15,5,2,2,10,12,10,8,2,8,18,5,2,5,5,2,15,2,18,0
3,Student Union, University of Kansas,1970,10,5,2,3,15,10,8,10,5,8,20,2,5,5,5,1,5,5,15,1
3,Lawrence Public Library,Lawrence,1970,10,5,2,2,5,15,12,18,2,10,18,2,2,5,10,2,18,5,18,0
3,Watkins Museum of History,Lawrence,1970,15,5,2,2,5,18,10,18,2,15,5,2,2,5,5,2,5,2,18,0
4,Ingalls Skating Rink, Yale University,1970,15,10,5,5,10,15,10,10,5,10,20,5,15,10,10,5,15,5,20,1
4,New Haven City Hall,New Haven,1970,15,10,1,15,5,5,10,5,5,5,10,10,5,10,10,5,20,10,20,0
4,Knights of Columbus Building,New Haven,1970,18,15,10,5,8,7,12,6,3,5,8,5,3,5,8,3,10,8,20,0
5,Dale Theatre, Bronx,1970,15,10,5,5,10,10,10,5,5,5,5,5,5,10,10,5,10,5,20,1
5,Empire State Building,New York City,1970,20,10,1,5,15,20,20,20,20,20,1,1,10,20,20,1,10,20,20,0
5,One World Trade Center,New York City,1970,20,1,1,1,1,1,1,1,1,1,1,1,1,20,20,1,20,1,20,0
